building_id,damage_grade
7026,2
89394,2
436681,2
248330,2
127601,3
150472,3
191739,3
123577,2
440005,3
894896,3
227194,2
647437,3
478351,2
953272,3
647529,3
470310,2
869387,2
536987,2
917316,2
696170,3
649071,2
735080,2
255826,3
363497,3
134305,2
805878,3
313799,3
885117,3
510376,2
848927,2
121556,2
317428,2
253854,2
281638,1
1051322,3
866822,2
179858,2
458601,3
86908,3
606400,2
804336,2
203277,3
268193,2
168611,3
170504,3
864258,2
255937,1
795690,3
644931,3
77953,2
810543,3
276626,2
223137,2
775020,3
615537,2
414386,3
627628,2
857199,3
603465,2
229230,2
522893,2
178520,3
626513,2
258801,2
398357,3
219813,2
945593,2
78589,3
978003,1
216246,2
481116,2
335807,3
220349,1
135417,3
367652,3
326712,2
14071,2
273618,2
274702,2
1047695,2
519269,2
401312,2
448134,2
880596,3
639120,1
756547,3
59581,3
463891,1
669697,2
718375,2
577483,2
368752,2
1046702,3
449326,2
28575,2
853997,2
570526,2
683367,2
917695,2
786778,1
585995,2
258906,3
312342,2
562337,2
118383,2
231978,3
223348,2
194587,2
71268,2
413182,1
944502,3
546875,3
479170,3
578993,2
224466,1
652222,2
565474,3
32207,3
381765,1
41501,2
64231,2
784012,2
464578,2
399766,2
4880,3
430888,3
108660,2
29095,3
981136,2
13214,3
1010733,3
1032560,3
178276,2
653379,1
495411,3
551985,3
990322,2
526785,2
696573,2
462694,2
876230,2
740368,2
659582,3
919260,3
840878,2
191036,2
908171,1
846625,3
667615,1
951609,2
492546,2
587584,3
964179,2
100306,3
866552,2
924388,1
576735,2
624344,2
550300,2
969285,2
617606,3
117006,2
409422,2
728867,2
202960,3
144448,3
558350,2
870550,3
210008,3
263744,2
398866,3
885066,2
813876,2
502987,3
87344,3
430088,2
356149,3
799317,2
931334,2
652350,2
662291,2
279989,2
497555,3
892815,2
459819,2
539196,3
1023767,3
516430,2
1019225,2
976684,1
500094,2
446420,3
406376,3
1626,3
176451,3
8865,3
